iter	RMSE
466	4.008272751
467	4.007103473
468	4.003884455
469	4.000019548
470	3.99747203
471	3.992338552
472	3.988884032
473	3.983712729
474	3.98153305
475	3.980540363
476	3.978401943
477	3.975218561
478	3.97378518
479	3.969274141
480	3.965368774
481	3.960425812
482	3.958193764
483	3.95545189
484	3.9522159
485	3.948086373
486	3.946637543
487	3.941119913
488	3.937935577
489	3.937060259
490	3.93540814
491	3.932368076
492	3.930826634
493	3.927769554
494	3.924697812
495	3.922935273
496	3.921698652
497	3.920928281
498	3.918032362
499	3.913813344
500	3.912764441
501	3.909718049
502	3.90575615
503	3.901783468
504	3.898322222
505	3.894720941
506	3.893898782
507	3.89096449
508	3.890394031
509	3.888735269
510	3.888275243
511	3.887139648
512	3.884149227
513	3.881204763
514	3.879245451
515	3.876574529
516	3.874855937
517	3.872555494
518	3.872027255
519	3.868880604
520	3.866516851
521	3.863958996
522	3.860415878
523	3.858390306
524	3.857263535
525	3.855863154
526	3.853352795
527	3.852023701
528	3.850927604
529	3.844067413
530	3.839388478
531	3.838559007
532	3.835335923
533	3.831318302
534	3.828633159
535	3.826110228
536	3.825531789
537	3.823399557
538	3.820743523
539	3.820258422
540	3.817442748
541	3.813976003
542	3.810222288
543	3.809192613
544	3.808525243
545	3.804193364
546	3.803829169
547	3.801894747
548	3.797458741
549	3.795665705
550	3.795101772
551	3.792402091
552	3.788616223
553	3.787506852
554	3.785642105
555	3.783887819
556	3.782217276
557	3.778212769
558	3.776099731
559	3.772829415
560	3.77034483
561	3.76784928
562	3.763919054
563	3.760748385
564	3.758347439
565	3.75355176
566	3.752434145
567	3.750394842
568	3.748718085
569	3.74815462
570	3.747722291
571	3.744226104
572	3.741304788
573	3.738522543
574	3.736422191
575	3.732610901
576	3.729276626
577	3.727963138
578	3.726046098
579	3.722859725
580	3.719723817
581	3.719390307
582	3.718764303
583	3.716540375
584	3.715390391
585	3.715325956
586	3.714333231
587	3.712700286
588	3.712427963
589	3.711668886
590	3.711288204
591	3.708557374
592	3.705119933
593	3.702107386
594	3.698740755
595	3.695976789
596	3.692724975
597	3.690712986
598	3.688508595
599	3.686139471
600	3.685683739
601	3.683214256
602	3.682507091
603	3.678115812
604	3.67438412
605	3.671757686
606	3.670726746
607	3.66753426
608	3.663979238
609	3.663028826
610	3.661977928
611	3.661659995
612	3.659317757
613	3.658375207
614	3.655122193
615	3.65386925
616	3.652410694
617	3.650228118
618	3.645288439
619	3.642944239
620	3.639932711
621	3.637375969
622	3.634587017
623	3.630791123
624	3.629060984
625	3.627629368
626	3.625690857
627	3.625222836
628	3.623004415
629	3.620110513
630	3.619179136
631	3.616249863
632	3.615452476
633	3.613613512
634	3.611017078
635	3.607533081
636	3.607239449
637	3.604521679
638	3.604220413
639	3.603815025
640	3.602252188
641	3.600181418
642	3.598893361
643	3.595658513
644	3.593884149
645	3.591732641
646	3.590554199
647	3.590038755
648	3.586737845
649	3.585070978
650	3.582511758
651	3.581178753
652	3.580164405
653	3.576974721
654	3.574556803
655	3.574159749
656	3.573244433
657	3.570306177
658	3.568035231
659	3.565890257
660	3.562519419
661	3.558568481
662	3.556013068
663	3.55191099
664	3.551358015
665	3.55069021
666	3.549744615
667	3.546087586
668	3.542709531
669	3.539974154
670	3.538991376
671	3.536401909
672	3.536153758
673	3.53540106
674	3.533833018
675	3.530927949
676	3.530589811
677	3.528854048
678	3.527189968
679	3.524015314
680	3.521948089
681	3.519400639
682	3.519108516
683	3.514604766
684	3.511218861
685	3.508329402
686	3.506659132
687	3.505658609
688	3.503175271
689	3.502730901
690	3.499809099
691	3.497490402
692	3.495134598
693	3.490996834
694	3.487889118
695	3.486296353
696	3.484817636
697	3.483154822
698	3.481078614
699	3.476419613
700	3.47387554
701	3.473431651
702	3.472036877
703	3.470390696
704	3.468048388
705	3.467256936
706	3.465978863
707	3.462779598
708	3.460116702
709	3.457753826
710	3.456793218
711	3.455833013
712	3.455181597
713	3.453204496
714	3.452387397
715	3.45048146
716	3.448183923
717	3.446302441
718	3.445759102
719	3.444243112
720	3.441794031
721	3.440080564
722	3.437161289
723	3.433692237
724	3.431556091
725	3.428544057
726	3.42609123
727	3.424654305
728	3.423437681
729	3.42256395
730	3.420642424
731	3.420421525
732	3.420039828
733	3.41872039
734	3.416328752
735	3.415825089
736	3.414146029
737	3.412242122
738	3.409224551
739	3.407307426
740	3.405845004
741	3.403028903
742	3.402348964
743	3.401568011
744	3.400547986
745	3.398799172
746	3.396870102
747	3.396497663
748	3.396251619
749	3.393364583
750	3.391477242
751	3.38955564
752	3.388556851
753	3.387529098
754	3.384808525
755	3.384337296
756	3.382638262
757	3.380251838
758	3.37986919
759	3.376710704
760	3.374504062
761	3.373641382
762	3.373249419
763	3.371279236
764	3.369156797
765	3.368351862
766	3.366191841
767	3.365066021
768	3.362242936
769	3.360507646
770	3.357337074
771	3.354709616
772	3.351360815
773	3.350129577
774	3.348927369
775	3.347582339
776	3.344935411
777	3.341924057
778	3.33910979
779	3.338498267
780	3.337703902
781	3.337422813
782	3.335521479
783	3.332133223
784	3.330288252
785	3.327694963
786	3.325701271
787	3.324150245
788	3.323158813
789	3.321891715
790	3.320776505
791	3.317751274
792	3.31648526
793	3.313136145
794	3.310286243
795	3.307214955
796	3.305691523
797	3.303810046
798	3.302364379
799	3.30206809
800	3.301824855
801	3.30120245
802	3.299624649
803	3.296311445
804	3.295127283
805	3.294944448
806	3.293616146
807	3.290632182
808	3.288376291
809	3.285520593
810	3.283554166
811	3.280617383
812	3.279042398
813	3.277132803
814	3.274940223
815	3.273576341
816	3.27181865
817	3.269685901
818	3.268424336
819	3.268116039
820	3.26719347
821	3.26498053
822	3.263593361
823	3.262982878
824	3.262612633
825	3.261418097
826	3.258661383
827	3.256515848
828	3.256358993
829	3.255701751
830	3.253041207
831	3.252462446
832	3.250566372
833	3.24699739
834	3.246597932
835	3.245782022
836	3.244603636
837	3.244280518
838	3.243650459
839	3.24178411
840	3.239974928
841	3.239710677
842	3.237320083
843	3.236466976
844	3.235855181
845	3.235622033
846	3.233603853
847	3.231695542
848	3.229681807
849	3.227613208
850	3.227523109
851	3.226843148
852	3.226566303
853	3.223503053
854	3.223327805
855	3.221915522
856	3.221488996
857	3.220093776
858	3.216775709
859	3.21486329
860	3.213236914
861	3.210276886
862	3.208331702
863	3.206012609
864	3.204807152
865	3.202540579
866	3.199751123
867	3.197117087
868	3.194904201
869	3.19390377
870	3.191332923
871	3.19071769
872	3.189904598
873	3.188109303
874	3.186639045
875	3.185340411
876	3.185061939
877	3.183692921
878	3.181474609
879	3.179588941
880	3.17568476
881	3.174845066
882	3.172849359
883	3.171341654
884	3.171080758
885	3.168730882
886	3.167988113
887	3.166477825
888	3.165526332
889	3.163453605
890	3.162509164
891	3.161905244
892	3.161073893
893	3.1591726
894	3.158066717
895	3.157058977
896	3.153678276
897	3.152077276
898	3.150974815
899	3.148171406
900	3.146219506
901	3.145101921
902	3.143747375
903	3.143423595
904	3.142399165
905	3.140500783
906	3.139193895
907	3.138410842
908	3.135995896
909	3.135772213
910	3.134128924
911	3.132839862
912	3.131348988
913	3.130941874
914	3.129417044
915	3.127959645
916	3.126478889
917	3.124894909
918	3.123206828
919	3.12126631
920	3.117058882
921	3.115701917
922	3.11424005
923	3.112767933
924	3.10979225
925	3.108697231
926	3.10800049
927	3.106694085
928	3.105948616
929	3.104368214
930	3.103503137
931	3.10003412
932	3.099595991
933	3.098983449
934	3.096772882
935	3.095353694
936	3.09379795
937	3.091665555
938	3.089799874
939	3.087416685
940	3.085673993
941	3.084434159
942	3.083705926
943	3.083003281
944	3.081012866
945	3.08086728
946	3.079909837
947	3.07813327
948	3.076110368
949	3.075950827
950	3.073995965
951	3.071267741
952	3.067580413
953	3.065435397
954	3.061418068
955	3.05977771
956	3.059176661
957	3.058058756
958	3.05685198
959	3.05561388
960	3.054250032
961	3.05400864
962	3.053595261
963	3.052527267
964	3.049481224
965	3.048471154
966	3.045806995
967	3.042337151
968	3.038330556
969	3.037713649
970	3.036700085
971	3.032603978
972	3.029747904
973	3.028370138
974	3.027645825
975	3.025423102
976	3.024822184
977	3.024112751
978	3.022171436
979	3.020611314
980	3.019008893
981	3.017747516
982	3.017656039
983	3.015083565
984	3.013220695
985	3.013031132
986	3.011899502
987	3.01130641
988	3.009498075
989	3.009017143
990	3.007253464
991	3.005990075
992	3.005789773
993	3.005415024
994	3.003062593
995	3.002601786
996	3.001098569
997	2.99977089
998	2.997801739
999	2.996437562
